circuit_key,circuit_short_name,country_code,country_key,country_name,date_end,date_start,gmt_offset,location,meeting_key,session_key,session_name,session_type,year
63,Sakhir,BRN,36,Bahrain,2023-02-23T16:30:00+00:00,2023-02-23T07:00:00+00:00,03:00:00,Sakhir,1140,9222,Practice 1,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-02-24T16:30:00+00:00,2023-02-24T07:00:00+00:00,03:00:00,Sakhir,1140,7763,Practice 2,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-02-25T16:30:00+00:00,2023-02-25T07:00:00+00:00,03:00:00,Sakhir,1140,7764,Practice 3,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-03-03T12:30:00+00:00,2023-03-03T11:30:00+00:00,03:00:00,Sakhir,1141,7765,Practice 1,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-03-03T16:00:00+00:00,2023-03-03T15:00:00+00:00,03:00:00,Sakhir,1141,7766,Practice 2,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-03-04T12:30:00+00:00,2023-03-04T11:30:00+00:00,03:00:00,Sakhir,1141,7767,Practice 3,Practice,2023
63,Sakhir,BRN,36,Bahrain,2023-03-04T16:00:00+00:00,2023-03-04T15:00:00+00:00,03:00:00,Sakhir,1141,7768,Qualifying,Qualifying,2023
63,Sakhir,BRN,36,Bahrain,2023-03-05T17:00:00+00:00,2023-03-05T15:00:00+00:00,03:00:00,Sakhir,1141,7953,Race,Race,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-17T14:30:00+00:00,2023-03-17T13:30:00+00:00,03:00:00,Jeddah,1142,7772,Practice 1,Practice,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-17T18:00:00+00:00,2023-03-17T17:00:00+00:00,03:00:00,Jeddah,1142,7773,Practice 2,Practice,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-18T14:30:00+00:00,2023-03-18T13:30:00+00:00,03:00:00,Jeddah,1142,7774,Practice 3,Practice,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-18T18:00:00+00:00,2023-03-18T17:00:00+00:00,03:00:00,Jeddah,1142,7775,Qualifying,Qualifying,2023
149,Jeddah,KSA,153,Saudi Arabia,2023-03-19T19:00:00+00:00,2023-03-19T17:00:00+00:00,03:00:00,Jeddah,1142,7779,Race,Race,2023
10,Melbourne,AUS,5,Australia,2023-03-31T02:30:00+00:00,2023-03-31T01:30:00+00:00,11:00:00,Melbourne,1143,7780,Practice 1,Practice,2023
10,Melbourne,AUS,5,Australia,2023-03-31T06:00:00+00:00,2023-03-31T05:00:00+00:00,11:00:00,Melbourne,1143,7781,Practice 2,Practice,2023
10,Melbourne,AUS,5,Australia,2023-04-01T02:30:00+00:00,2023-04-01T01:30:00+00:00,11:00:00,Melbourne,1143,7782,Practice 3,Practice,2023
10,Melbourne,AUS,5,Australia,2023-04-01T06:00:00+00:00,2023-04-01T05:00:00+00:00,11:00:00,Melbourne,1143,7783,Qualifying,Qualifying,2023
10,Melbourne,AUS,5,Australia,2023-04-02T07:00:00+00:00,2023-04-02T05:00:00+00:00,10:00:00,Melbourne,1143,7787,Race,Race,2023
144,Baku,AZE,30,Azerbaijan,2023-04-28T10:30:00+00:00,2023-04-28T09:30:00+00:00,04:00:00,Baku,1207,9063,Practice 1,Practice,2023
144,Baku,AZE,30,Azerbaijan,2023-04-28T14:00:00+00:00,2023-04-28T13:00:00+00:00,04:00:00,Baku,1207,9064,Qualifying,Qualifying,2023
144,Baku,AZE,30,Azerbaijan,2023-04-29T09:14:00+00:00,2023-04-29T08:30:00+00:00,04:00:00,Baku,1207,9278,Sprint Shootout,Qualifying,2023
144,Baku,AZE,30,Azerbaijan,2023-04-29T14:00:00+00:00,2023-04-29T13:30:00+00:00,04:00:00,Baku,1207,9069,Sprint,Race,2023
144,Baku,AZE,30,Azerbaijan,2023-04-30T13:00:00+00:00,2023-04-30T11:00:00+00:00,04:00:00,Baku,1207,9070,Race,Race,2023
151,Miami,USA,19,United States,2023-05-05T19:00:00+00:00,2023-05-05T18:00:00+00:00,-04:00:00,Miami,1208,9071,Practice 1,Practice,2023
151,Miami,USA,19,United States,2023-05-05T22:30:00+00:00,2023-05-05T21:30:00+00:00,-04:00:00,Miami,1208,9072,Practice 2,Practice,2023
151,Miami,USA,19,United States,2023-05-06T17:30:00+00:00,2023-05-06T16:30:00+00:00,-04:00:00,Miami,1208,9073,Practice 3,Practice,2023
151,Miami,USA,19,United States,2023-05-06T21:00:00+00:00,2023-05-06T20:00:00+00:00,-04:00:00,Miami,1208,9074,Qualifying,Qualifying,2023
