brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle,millis
0,2025-04-20T17:20:07.659+01:00,81,1,1258,0,4342,10022,2,0,1745166007659
0,2025-04-20T17:20:08.059+01:00,81,1,1258,0,3925,10022,1,0,1745166008059
0,2025-04-20T17:20:20.979+01:00,81,1,1258,1,3613,10022,1,0,1745166020979
0,2025-04-20T17:20:21.139+01:00,81,1,1258,1,3714,10022,4,0,1745166021139
0,2025-04-20T17:20:21.499+01:00,81,1,1258,1,3724,10022,7,0,1745166021499
0,2025-04-20T17:20:21.659+01:00,81,1,1258,1,3804,10022,9,0,1745166021659
0,2025-04-20T17:20:21.819+01:00,81,1,1258,1,3878,10022,9,0,1745166021819
0,2025-04-20T17:20:22.059+01:00,81,1,1258,1,3948,10022,12,0,1745166022059
0,2025-04-20T17:20:22.219+01:00,81,1,1258,1,3929,10022,14,0,1745166022219
0,2025-04-20T17:20:22.459+01:00,81,1,1258,1,3911,10022,16,0,1745166022459
0,2025-04-20T17:20:22.739+01:00,81,1,1258,1,3940,10022,19,0,1745166022739
0,2025-04-20T17:20:23.138+01:00,81,1,1258,1,4111,10022,22,0,1745166023138
0,2025-04-20T17:20:23.538+01:00,81,1,1258,1,4362,10022,24,0,1745166023538
0,2025-04-20T17:20:23.858+01:00,81,1,1258,1,4342,10022,28,0,1745166023858
0,2025-04-20T17:20:24.178+01:00,81,1,1258,1,4244,10022,33,14,1745166024178
0,2025-04-20T17:20:24.578+01:00,81,1,1258,1,4960,10022,44,18,1745166024578
0,2025-04-20T17:20:24.938+01:00,81,1,1258,1,5980,10022,48,16,1745166024938
0,2025-04-20T17:20:25.258+01:00,81,1,1258,1,6431,10022,54,14,1745166025258
0,2025-04-20T17:20:25.418+01:00,81,1,1258,1,6506,10022,57,14,1745166025418
0,2025-04-20T17:20:25.578+01:00,81,1,1258,1,6870,10022,57,15,1745166025578
0,2025-04-20T17:20:25.818+01:00,81,1,1258,1,6745,10022,61,17,1745166025818
0,2025-04-20T17:20:26.138+01:00,81,1,1258,2,6264,10022,65,20,1745166026138
0,2025-04-20T17:20:26.378+01:00,81,1,1258,2,6167,10022,68,22,1745166026378
0,2025-04-20T17:20:26.818+01:00,81,1,1258,2,6642,10022,76,21,1745166026818
0,2025-04-20T17:20:27.259+01:00,81,1,1258,2,6946,10022,78,23,1745166027259
0,2025-04-20T17:20:27.459+01:00,81,1,1258,2,6896,10022,79,23,1745166027459
0,2025-04-20T17:20:27.819+01:00,81,1,1258,2,6964,10022,80,23,1745166027819
0,2025-04-20T17:20:28.059+01:00,81,1,1258,2,6964,10022,80,23,1745166028059
0,2025-04-20T17:20:28.339+01:00,81,1,1258,2,6958,10022,80,22,1745166028339
0,2025-04-20T17:20:28.739+01:00,81,1,1258,2,7081,10022,80,22,1745166028739
0,2025-04-20T17:20:29.139+01:00,81,1,1258,2,6908,10022,80,21,1745166029139
0,2025-04-20T17:20:29.419+01:00,81,1,1258,2,6870,10022,80,7,1745166029419
0,2025-04-20T17:20:29.698+01:00,81,1,1258,2,6736,10022,78,0,1745166029698
100,2025-04-20T17:20:29.938+01:00,81,1,1258,2,6418,10022,75,0,1745166029938
100,2025-04-20T17:20:30.378+01:00,81,1,1258,2,5897,10022,70,0,1745166030378
100,2025-04-20T17:20:30.738+01:00,81,1,1258,2,5320,10022,62,0,1745166030738
100,2025-04-20T17:20:30.978+01:00,81,1,1258,2,6860,10022,57,0,1745166030978
100,2025-04-20T17:20:31.298+01:00,81,1,1258,1,5705,10022,51,0,1745166031298
100,2025-04-20T17:20:31.538+01:00,81,1,1258,1,5415,10022,48,0,1745166031538
100,2025-04-20T17:20:31.738+01:00,81,1,1258,1,4617,10022,44,0,1745166031738
100,2025-04-20T17:20:32.178+01:00,81,1,1258,1,4276,10022,35,0,1745166032178
100,2025-04-20T17:20:32.658+01:00,81,1,1258,1,4071,10022,32,0,1745166032658
100,2025-04-20T17:20:32.898+01:00,81,1,1258,1,3858,10022,27,0,1745166032898
100,2025-04-20T17:20:33.138+01:00,81,1,1258,1,3725,10022,24,0,1745166033138
100,2025-04-20T17:20:33.418+01:00,81,1,1258,1,4283,10022,23,0,1745166033418
100,2025-04-20T17:20:33.578+01:00,81,1,1258,1,4283,10022,20,0,1745166033578
100,2025-04-20T17:20:33.899+01:00,81,1,1258,1,4385,10022,19,0,1745166033899
100,2025-04-20T17:20:34.299+01:00,81,1,1258,1,4209,10022,14,0,1745166034299
100,2025-04-20T17:20:34.619+01:00,81,1,1258,1,3716,10022,13,0,1745166034619
100,2025-04-20T17:20:34.859+01:00,81,1,1258,1,3791,10022,10,0,1745166034859
100,2025-04-20T17:20:35.099+01:00,81,1,1258,1,3839,10022,6,0,1745166035099
100,2025-04-20T17:20:35.299+01:00,81,1,1258,1,3861,10022,5,0,1745166035299
100,2025-04-20T17:20:35.539+01:00,81,1,1258,1,3919,10022,4,0,1745166035539
100,2025-04-20T17:20:35.699+01:00,81,1,1258,1,3846,10022,3,0,1745166035699
0,2025-04-20T17:20:38.378+01:00,81,1,1258,1,3667,10022,6,0,1745166038378
0,2025-04-20T17:20:38.538+01:00,81,1,1258,1,3746,10022,6,0,1745166038538
0,2025-04-20T17:20:38.778+01:00,81,1,1258,1,3848,10022,9,0,1745166038778
0,2025-04-20T17:20:39.058+01:00,81,1,1258,1,4301,10022,11,0,1745166039058
0,2025-04-20T17:20:39.218+01:00,81,1,1258,1,4742,10022,12,0,1745166039218
0,2025-04-20T17:20:39.458+01:00,81,1,1258,1,4797,10022,12,0,1745166039458
0,2025-04-20T17:20:39.658+01:00,81,1,1258,1,4359,10022,11,0,1745166039658
0,2025-04-20T17:20:39.898+01:00,81,1,1258,1,3716,10022,12,1,1745166039898
0,2025-04-20T17:20:40.218+01:00,81,1,1258,1,3556,10022,15,6,1745166040218
0,2025-04-20T17:20:40.499+01:00,81,1,1258,1,3828,10022,19,6,1745166040499
0,2025-04-20T17:20:40.739+01:00,81,1,1258,1,3804,10022,21,6,1745166040739
0,2025-04-20T17:20:40.939+01:00,81,1,1258,1,3781,10022,21,6,1745166040939
0,2025-04-20T17:20:41.179+01:00,81,1,1258,1,3872,10022,27,6,1745166041179
0,2025-04-20T17:20:41.459+01:00,81,1,1258,1,3941,10022,28,6,1745166041459
0,2025-04-20T17:20:41.619+01:00,81,1,1258,1,4064,10022,31,6,1745166041619
0,2025-04-20T17:20:41.939+01:00,81,1,1258,1,4616,10022,34,20,1745166041939
0,2025-04-20T17:20:42.179+01:00,81,1,1258,1,5269,10022,38,27,1745166042179
0,2025-04-20T17:20:42.499+01:00,81,1,1258,1,6348,10022,52,28,1745166042499
0,2025-04-20T17:20:42.739+01:00,81,1,1258,1,7491,10022,58,41,1745166042739
0,2025-04-20T17:20:42.979+01:00,81,1,1258,1,8312,10022,68,44,1745166042979
0,2025-04-20T17:20:43.138+01:00,81,1,1258,1,8630,10022,71,50,1745166043138
0,2025-04-20T17:20:43.378+01:00,81,1,1258,1,7090,10022,75,57,1745166043378
0,2025-04-20T17:20:43.698+01:00,81,1,1258,2,6756,10022,77,56,1745166043698
0,2025-04-20T17:20:43.938+01:00,81,1,1258,2,6788,10022,79,54,1745166043938
0,2025-04-20T17:20:44.258+01:00,81,1,1258,2,7091,10022,79,54,1745166044258
0,2025-04-20T17:20:44.458+01:00,81,1,1258,2,7013,10022,79,54,1745166044458
0,2025-04-20T17:20:44.658+01:00,81,1,1258,2,7380,10022,80,54,1745166044658
0,2025-04-20T17:20:44.858+01:00,81,1,1258,2,8019,10022,80,55,1745166044858
0,2025-04-20T17:20:45.138+01:00,81,1,1258,2,9002,10022,93,62,1745166045138
0,2025-04-20T17:20:45.338+01:00,81,1,1258,2,9757,10022,99,59,1745166045338
0,2025-04-20T17:20:45.658+01:00,81,1,1258,2,10044,10022,111,75,1745166045658
0,2025-04-20T17:20:45.818+01:00,81,1,1258,2,10802,10022,119,77,1745166045818
0,2025-04-20T17:20:46.098+01:00,81,1,1258,2,11578,10022,133,86,1745166046098
0,2025-04-20T17:20:46.258+01:00,81,1,1258,2,10609,10022,137,99,1745166046258
0,2025-04-20T17:20:46.578+01:00,81,1,1258,3,11555,10022,157,99,1745166046578
0,2025-04-20T17:20:46.778+01:00,81,1,1258,3,11966,10022,165,99,1745166046778
0,2025-04-20T17:20:46.979+01:00,81,1,1258,3,12402,10022,173,99,1745166046979
0,2025-04-20T17:20:47.219+01:00,81,1,1258,3,12283,10022,175,3,1745166047219
100,2025-04-20T17:20:47.619+01:00,81,1,1258,3,11431,10022,167,0,1745166047619
100,2025-04-20T17:20:47.819+01:00,81,1,1258,3,10771,10022,157,0,1745166047819
100,2025-04-20T17:20:48.219+01:00,81,1,1258,3,10531,10022,137,0,1745166048219
100,2025-04-20T17:20:48.659+01:00,81,1,1258,2,10344,10022,120,0,1745166048659
0,2025-04-20T17:20:48.899+01:00,81,1,1258,2,10094,10022,116,9,1745166048899
0,2025-04-20T17:20:49.818+01:00,81,1,1258,2,10983,10022,125,61,1745166049818
100,2025-04-20T17:20:50.138+01:00,81,1,1258,2,10425,10022,124,0,1745166050138
100,2025-04-20T17:20:50.498+01:00,81,1,1258,2,9277,10022,111,0,1745166050498
100,2025-04-20T17:20:50.738+01:00,81,1,1258,2,8641,10022,104,0,1745166050738
100,2025-04-20T17:20:50.898+01:00,81,1,1258,2,8192,10022,97,0,1745166050898
100,2025-04-20T17:20:51.178+01:00,81,1,1258,2,7934,10022,92,0,1745166051178
0,2025-04-20T17:20:51.418+01:00,81,1,1258,2,7611,10022,89,0,1745166051418
0,2025-04-20T17:20:51.578+01:00,81,1,1258,2,7982,10022,87,13,1745166051578
0,2025-04-20T17:20:51.738+01:00,81,1,1258,2,7977,10022,87,32,1745166051738
0,2025-04-20T17:20:51.898+01:00,81,1,1258,2,8263,10022,90,37,1745166051898
0,2025-04-20T17:20:52.218+01:00,81,1,1258,2,8853,10022,95,49,1745166052218
0,2025-04-20T17:20:52.538+01:00,81,1,1258,2,9954,10022,104,73,1745166052538
0,2025-04-20T17:20:52.858+01:00,81,1,1258,2,10856,10022,115,82,1745166052858
0,2025-04-20T17:20:53.058+01:00,81,1,1258,2,11789,10022,124,86,1745166053058
0,2025-04-20T17:20:53.298+01:00,81,1,1258,2,10504,10022,133,93,1745166053298
0,2025-04-20T17:20:53.499+01:00,81,1,1258,3,10785,10022,146,97,1745166053499
0,2025-04-20T17:20:53.779+01:00,81,1,1258,3,11654,10022,156,99,1745166053779
0,2025-04-20T17:20:54.059+01:00,81,1,1258,3,10214,10022,169,99,1745166054059
0,2025-04-20T17:20:54.259+01:00,81,1,1258,4,11068,10022,177,99,1745166054259
0,2025-04-20T17:20:54.499+01:00,81,1,1258,4,11593,10022,187,99,1745166054499
0,2025-04-20T17:20:54.699+01:00,81,1,1258,4,11962,10022,193,99,1745166054699
0,2025-04-20T17:20:54.899+01:00,81,1,1258,4,10982,10022,198,99,1745166054899
0,2025-04-20T17:20:55.299+01:00,81,1,1258,4,11033,10022,204,99,1745166055299
0,2025-04-20T17:20:55.659+01:00,81,1,1258,5,11445,10022,217,99,1745166055659
0,2025-04-20T17:20:55.859+01:00,81,1,1258,5,11743,10022,222,99,1745166055859
0,2025-04-20T17:20:56.019+01:00,81,1,1258,5,11043,10022,227,99,1745166056019
0,2025-04-20T17:20:56.259+01:00,81,1,1258,6,10686,10022,228,99,1745166056259
0,2025-04-20T17:20:56.578+01:00,81,1,1258,6,10865,10022,238,99,1745166056578
0,2025-04-20T17:20:56.778+01:00,81,1,1258,6,11038,10022,240,99,1745166056778
0,2025-04-20T17:20:57.018+01:00,81,1,1258,6,11200,10022,245,99,1745166057018
0,2025-04-20T17:20:57.378+01:00,81,1,1258,6,11234,10022,249,99,1745166057378
0,2025-04-20T17:20:57.578+01:00,81,1,1258,6,11401,10022,251,99,1745166057578
0,2025-04-20T17:20:57.778+01:00,81,1,1258,6,11459,10022,252,99,1745166057778
0,2025-04-20T17:20:57.978+01:00,81,1,1258,6,11474,10022,253,99,1745166057978
0,2025-04-20T17:20:58.138+01:00,81,1,1258,6,11194,10022,253,30,1745166058138
100,2025-04-20T17:20:58.458+01:00,81,1,1258,6,10936,10022,249,0,1745166058458
100,2025-04-20T17:20:58.818+01:00,81,1,1258,6,9408,10022,215,0,1745166058818
100,2025-04-20T17:20:59.018+01:00,81,1,1258,6,9408,10022,191,0,1745166059018
100,2025-04-20T17:20:59.178+01:00,81,1,1258,5,9138,10022,172,0,1745166059178
100,2025-04-20T17:20:59.378+01:00,81,1,1258,5,9447,10022,159,0,1745166059378
100,2025-04-20T17:20:59.538+01:00,81,1,1258,4,9005,10022,154,0,1745166059538
100,2025-04-20T17:20:59.698+01:00,81,1,1258,4,8844,10022,150,0,1745166059698
0,2025-04-20T17:20:59.978+01:00,81,1,1258,4,8599,10022,143,1,1745166059978
0,2025-04-20T17:21:00.299+01:00,81,1,1258,4,8534,10022,139,14,1745166060299
0,2025-04-20T17:21:00.459+01:00,81,1,1258,4,8550,10022,139,34,1745166060459
0,2025-04-20T17:21:00.699+01:00,81,1,1258,4,8786,10022,139,56,1745166060699
0,2025-04-20T17:21:00.899+01:00,81,1,1258,4,8931,10022,143,69,1745166060899
0,2025-04-20T17:21:01.139+01:00,81,1,1258,4,9275,10022,148,82,1745166061139
0,2025-04-20T17:21:01.379+01:00,81,1,1258,4,9750,10022,156,76,1745166061379
0,2025-04-20T17:21:01.699+01:00,81,1,1258,4,10010,10022,163,78,1745166061699
0,2025-04-20T17:21:01.939+01:00,81,1,1258,4,10324,10022,167,72,1745166061939
0,2025-04-20T17:21:02.139+01:00,81,1,1258,4,10535,10022,169,78,1745166062139
0,2025-04-20T17:21:02.379+01:00,81,1,1258,4,10841,10022,177,79,1745166062379
0,2025-04-20T17:21:02.699+01:00,81,1,1258,4,11255,10022,182,79,1745166062699
0,2025-04-20T17:21:02.859+01:00,81,1,1258,4,11475,10022,184,80,1745166062859
0,2025-04-20T17:21:03.059+01:00,81,1,1258,4,10863,10022,188,80,1745166063059
0,2025-04-20T17:21:03.219+01:00,81,1,1258,4,10213,10022,191,80,1745166063219
0,2025-04-20T17:21:03.498+01:00,81,1,1258,4,10526,10022,197,87,1745166063498
0,2025-04-20T17:21:03.738+01:00,81,1,1258,5,10725,10022,200,89,1745166063738
