brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
0,2025-04-20T16:20:07.659000+00:00,81,1,1258,0,4342,10022,2,0
0,2025-04-20T16:20:08.059000+00:00,81,1,1258,0,3925,10022,1,0
0,2025-04-20T16:20:20.979000+00:00,81,1,1258,1,3613,10022,1,0
0,2025-04-20T16:20:21.139000+00:00,81,1,1258,1,3714,10022,4,0
0,2025-04-20T16:20:21.499000+00:00,81,1,1258,1,3724,10022,7,0
0,2025-04-20T16:20:21.659000+00:00,81,1,1258,1,3804,10022,9,0
0,2025-04-20T16:20:21.819000+00:00,81,1,1258,1,3878,10022,9,0
0,2025-04-20T16:20:22.059000+00:00,81,1,1258,1,3948,10022,12,0
0,2025-04-20T16:20:22.219000+00:00,81,1,1258,1,3929,10022,14,0
0,2025-04-20T16:20:22.459000+00:00,81,1,1258,1,3911,10022,16,0
0,2025-04-20T16:20:22.739000+00:00,81,1,1258,1,3940,10022,19,0
0,2025-04-20T16:20:23.138000+00:00,81,1,1258,1,4111,10022,22,0
0,2025-04-20T16:20:23.538000+00:00,81,1,1258,1,4362,10022,24,0
0,2025-04-20T16:20:23.858000+00:00,81,1,1258,1,4342,10022,28,0
0,2025-04-20T16:20:24.178000+00:00,81,1,1258,1,4244,10022,33,14
0,2025-04-20T16:20:24.578000+00:00,81,1,1258,1,4960,10022,44,18
0,2025-04-20T16:20:24.938000+00:00,81,1,1258,1,5980,10022,48,16
0,2025-04-20T16:20:25.258000+00:00,81,1,1258,1,6431,10022,54,14
0,2025-04-20T16:20:25.418000+00:00,81,1,1258,1,6506,10022,57,14
0,2025-04-20T16:20:25.578000+00:00,81,1,1258,1,6870,10022,57,15
0,2025-04-20T16:20:25.818000+00:00,81,1,1258,1,6745,10022,61,17
0,2025-04-20T16:20:26.138000+00:00,81,1,1258,2,6264,10022,65,20
0,2025-04-20T16:20:26.378000+00:00,81,1,1258,2,6167,10022,68,22
0,2025-04-20T16:20:26.818000+00:00,81,1,1258,2,6642,10022,76,21
0,2025-04-20T16:20:27.259000+00:00,81,1,1258,2,6946,10022,78,23
0,2025-04-20T16:20:27.459000+00:00,81,1,1258,2,6896,10022,79,23
0,2025-04-20T16:20:27.819000+00:00,81,1,1258,2,6964,10022,80,23
0,2025-04-20T16:20:28.059000+00:00,81,1,1258,2,6964,10022,80,23
0,2025-04-20T16:20:28.339000+00:00,81,1,1258,2,6958,10022,80,22
0,2025-04-20T16:20:28.739000+00:00,81,1,1258,2,7081,10022,80,22
0,2025-04-20T16:20:29.139000+00:00,81,1,1258,2,6908,10022,80,21
0,2025-04-20T16:20:29.419000+00:00,81,1,1258,2,6870,10022,80,7
0,2025-04-20T16:20:29.698000+00:00,81,1,1258,2,6736,10022,78,0
100,2025-04-20T16:20:29.938000+00:00,81,1,1258,2,6418,10022,75,0
100,2025-04-20T16:20:30.378000+00:00,81,1,1258,2,5897,10022,70,0
100,2025-04-20T16:20:30.738000+00:00,81,1,1258,2,5320,10022,62,0
100,2025-04-20T16:20:30.978000+00:00,81,1,1258,2,6860,10022,57,0
100,2025-04-20T16:20:31.298000+00:00,81,1,1258,1,5705,10022,51,0
100,2025-04-20T16:20:31.538000+00:00,81,1,1258,1,5415,10022,48,0
100,2025-04-20T16:20:31.738000+00:00,81,1,1258,1,4617,10022,44,0
100,2025-04-20T16:20:32.178000+00:00,81,1,1258,1,4276,10022,35,0
100,2025-04-20T16:20:32.658000+00:00,81,1,1258,1,4071,10022,32,0
100,2025-04-20T16:20:32.898000+00:00,81,1,1258,1,3858,10022,27,0
100,2025-04-20T16:20:33.138000+00:00,81,1,1258,1,3725,10022,24,0
100,2025-04-20T16:20:33.418000+00:00,81,1,1258,1,4283,10022,23,0
100,2025-04-20T16:20:33.578000+00:00,81,1,1258,1,4283,10022,20,0
100,2025-04-20T16:20:33.899000+00:00,81,1,1258,1,4385,10022,19,0
100,2025-04-20T16:20:34.299000+00:00,81,1,1258,1,4209,10022,14,0
100,2025-04-20T16:20:34.619000+00:00,81,1,1258,1,3716,10022,13,0
100,2025-04-20T16:20:34.859000+00:00,81,1,1258,1,3791,10022,10,0
100,2025-04-20T16:20:35.099000+00:00,81,1,1258,1,3839,10022,6,0
100,2025-04-20T16:20:35.299000+00:00,81,1,1258,1,3861,10022,5,0
100,2025-04-20T16:20:35.539000+00:00,81,1,1258,1,3919,10022,4,0
100,2025-04-20T16:20:35.699000+00:00,81,1,1258,1,3846,10022,3,0
0,2025-04-20T16:20:38.378000+00:00,81,1,1258,1,3667,10022,6,0
0,2025-04-20T16:20:38.538000+00:00,81,1,1258,1,3746,10022,6,0
0,2025-04-20T16:20:38.778000+00:00,81,1,1258,1,3848,10022,9,0
0,2025-04-20T16:20:39.058000+00:00,81,1,1258,1,4301,10022,11,0
0,2025-04-20T16:20:39.218000+00:00,81,1,1258,1,4742,10022,12,0
0,2025-04-20T16:20:39.458000+00:00,81,1,1258,1,4797,10022,12,0
0,2025-04-20T16:20:39.658000+00:00,81,1,1258,1,4359,10022,11,0
0,2025-04-20T16:20:39.898000+00:00,81,1,1258,1,3716,10022,12,1
0,2025-04-20T16:20:40.218000+00:00,81,1,1258,1,3556,10022,15,6
0,2025-04-20T16:20:40.499000+00:00,81,1,1258,1,3828,10022,19,6
0,2025-04-20T16:20:40.739000+00:00,81,1,1258,1,3804,10022,21,6
0,2025-04-20T16:20:40.939000+00:00,81,1,1258,1,3781,10022,21,6
0,2025-04-20T16:20:41.179000+00:00,81,1,1258,1,3872,10022,27,6
0,2025-04-20T16:20:41.459000+00:00,81,1,1258,1,3941,10022,28,6
0,2025-04-20T16:20:41.619000+00:00,81,1,1258,1,4064,10022,31,6
0,2025-04-20T16:20:41.939000+00:00,81,1,1258,1,4616,10022,34,20
0,2025-04-20T16:20:42.179000+00:00,81,1,1258,1,5269,10022,38,27
0,2025-04-20T16:20:42.499000+00:00,81,1,1258,1,6348,10022,52,28
0,2025-04-20T16:20:42.739000+00:00,81,1,1258,1,7491,10022,58,41
0,2025-04-20T16:20:42.979000+00:00,81,1,1258,1,8312,10022,68,44
0,2025-04-20T16:20:43.138000+00:00,81,1,1258,1,8630,10022,71,50
0,2025-04-20T16:20:43.378000+00:00,81,1,1258,1,7090,10022,75,57
0,2025-04-20T16:20:43.698000+00:00,81,1,1258,2,6756,10022,77,56
0,2025-04-20T16:20:43.938000+00:00,81,1,1258,2,6788,10022,79,54
0,2025-04-20T16:20:44.258000+00:00,81,1,1258,2,7091,10022,79,54
0,2025-04-20T16:20:44.458000+00:00,81,1,1258,2,7013,10022,79,54
0,2025-04-20T16:20:44.658000+00:00,81,1,1258,2,7380,10022,80,54
0,2025-04-20T16:20:44.858000+00:00,81,1,1258,2,8019,10022,80,55
0,2025-04-20T16:20:45.138000+00:00,81,1,1258,2,9002,10022,93,62
0,2025-04-20T16:20:45.338000+00:00,81,1,1258,2,9757,10022,99,59
0,2025-04-20T16:20:45.658000+00:00,81,1,1258,2,10044,10022,111,75
0,2025-04-20T16:20:45.818000+00:00,81,1,1258,2,10802,10022,119,77
0,2025-04-20T16:20:46.098000+00:00,81,1,1258,2,11578,10022,133,86
0,2025-04-20T16:20:46.258000+00:00,81,1,1258,2,10609,10022,137,99
0,2025-04-20T16:20:46.578000+00:00,81,1,1258,3,11555,10022,157,99
0,2025-04-20T16:20:46.778000+00:00,81,1,1258,3,11966,10022,165,99
0,2025-04-20T16:20:46.979000+00:00,81,1,1258,3,12402,10022,173,99
0,2025-04-20T16:20:47.219000+00:00,81,1,1258,3,12283,10022,175,3
100,2025-04-20T16:20:47.619000+00:00,81,1,1258,3,11431,10022,167,0
100,2025-04-20T16:20:47.819000+00:00,81,1,1258,3,10771,10022,157,0
100,2025-04-20T16:20:48.219000+00:00,81,1,1258,3,10531,10022,137,0
100,2025-04-20T16:20:48.659000+00:00,81,1,1258,2,10344,10022,120,0
0,2025-04-20T16:20:48.899000+00:00,81,1,1258,2,10094,10022,116,9
0,2025-04-20T16:20:49.818000+00:00,81,1,1258,2,10983,10022,125,61
100,2025-04-20T16:20:50.138000+00:00,81,1,1258,2,10425,10022,124,0
100,2025-04-20T16:20:50.498000+00:00,81,1,1258,2,9277,10022,111,0
100,2025-04-20T16:20:50.738000+00:00,81,1,1258,2,8641,10022,104,0
100,2025-04-20T16:20:50.898000+00:00,81,1,1258,2,8192,10022,97,0
100,2025-04-20T16:20:51.178000+00:00,81,1,1258,2,7934,10022,92,0
0,2025-04-20T16:20:51.418000+00:00,81,1,1258,2,7611,10022,89,0
0,2025-04-20T16:20:51.578000+00:00,81,1,1258,2,7982,10022,87,13
0,2025-04-20T16:20:51.738000+00:00,81,1,1258,2,7977,10022,87,32
0,2025-04-20T16:20:51.898000+00:00,81,1,1258,2,8263,10022,90,37
0,2025-04-20T16:20:52.218000+00:00,81,1,1258,2,8853,10022,95,49
0,2025-04-20T16:20:52.538000+00:00,81,1,1258,2,9954,10022,104,73
0,2025-04-20T16:20:52.858000+00:00,81,1,1258,2,10856,10022,115,82
0,2025-04-20T16:20:53.058000+00:00,81,1,1258,2,11789,10022,124,86
0,2025-04-20T16:20:53.298000+00:00,81,1,1258,2,10504,10022,133,93
0,2025-04-20T16:20:53.499000+00:00,81,1,1258,3,10785,10022,146,97
0,2025-04-20T16:20:53.779000+00:00,81,1,1258,3,11654,10022,156,99
0,2025-04-20T16:20:54.059000+00:00,81,1,1258,3,10214,10022,169,99
0,2025-04-20T16:20:54.259000+00:00,81,1,1258,4,11068,10022,177,99
0,2025-04-20T16:20:54.499000+00:00,81,1,1258,4,11593,10022,187,99
0,2025-04-20T16:20:54.699000+00:00,81,1,1258,4,11962,10022,193,99
0,2025-04-20T16:20:54.899000+00:00,81,1,1258,4,10982,10022,198,99
0,2025-04-20T16:20:55.299000+00:00,81,1,1258,4,11033,10022,204,99
0,2025-04-20T16:20:55.659000+00:00,81,1,1258,5,11445,10022,217,99
0,2025-04-20T16:20:55.859000+00:00,81,1,1258,5,11743,10022,222,99
0,2025-04-20T16:20:56.019000+00:00,81,1,1258,5,11043,10022,227,99
0,2025-04-20T16:20:56.259000+00:00,81,1,1258,6,10686,10022,228,99
0,2025-04-20T16:20:56.578000+00:00,81,1,1258,6,10865,10022,238,99
0,2025-04-20T16:20:56.778000+00:00,81,1,1258,6,11038,10022,240,99
0,2025-04-20T16:20:57.018000+00:00,81,1,1258,6,11200,10022,245,99
0,2025-04-20T16:20:57.378000+00:00,81,1,1258,6,11234,10022,249,99
0,2025-04-20T16:20:57.578000+00:00,81,1,1258,6,11401,10022,251,99
0,2025-04-20T16:20:57.778000+00:00,81,1,1258,6,11459,10022,252,99
0,2025-04-20T16:20:57.978000+00:00,81,1,1258,6,11474,10022,253,99
0,2025-04-20T16:20:58.138000+00:00,81,1,1258,6,11194,10022,253,30
100,2025-04-20T16:20:58.458000+00:00,81,1,1258,6,10936,10022,249,0
100,2025-04-20T16:20:58.818000+00:00,81,1,1258,6,9408,10022,215,0
100,2025-04-20T16:20:59.018000+00:00,81,1,1258,6,9408,10022,191,0
100,2025-04-20T16:20:59.178000+00:00,81,1,1258,5,9138,10022,172,0
100,2025-04-20T16:20:59.378000+00:00,81,1,1258,5,9447,10022,159,0
100,2025-04-20T16:20:59.538000+00:00,81,1,1258,4,9005,10022,154,0
100,2025-04-20T16:20:59.698000+00:00,81,1,1258,4,8844,10022,150,0
0,2025-04-20T16:20:59.978000+00:00,81,1,1258,4,8599,10022,143,1
0,2025-04-20T16:21:00.299000+00:00,81,1,1258,4,8534,10022,139,14
0,2025-04-20T16:21:00.459000+00:00,81,1,1258,4,8550,10022,139,34
0,2025-04-20T16:21:00.699000+00:00,81,1,1258,4,8786,10022,139,56
0,2025-04-20T16:21:00.899000+00:00,81,1,1258,4,8931,10022,143,69
0,2025-04-20T16:21:01.139000+00:00,81,1,1258,4,9275,10022,148,82
0,2025-04-20T16:21:01.379000+00:00,81,1,1258,4,9750,10022,156,76
