category,date,driver_number,flag,lap_number,meeting_key,message,scope,sector,session_key
Flag,2023-03-05T16:24:25+00:00,27,BLACK AND WHITE,49,1141,BLACK AND WHITE FLAG FOR CAR 27 (HUL) - TRACK LIMITS,Driver,,7953
Flag,2023-03-05T16:33:02+00:00,4,BLACK AND WHITE,55,1141,BLACK AND WHITE FLAG FOR CAR 4 (NOR) - TRACK LIMITS,Driver,,7953
Flag,2023-03-17T14:21:09+00:00,4,BLACK AND WHITE,,1142,BLACK AND WHITE FLAG FOR CAR 4 (NOR) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,Driver,,7772
Flag,2023-03-17T17:38:18+00:00,21,BLACK AND WHITE,,1142,BLACK AND WHITE FLAG FOR CAR 21 (DEV) - CROSSING THE LINE AT PIT ENTRY,Driver,,7773
Flag,2023-03-18T14:21:35+00:00,14,BLACK AND WHITE,,1142,BLACK AND WHITE FLAG FOR CAR 14 (ALO) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,Driver,,7774
Flag,2023-03-18T14:32:09+00:00,22,BLACK AND WHITE,,1142,BLACK AND WHITE FLAG FOR CAR 22 (TSU) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS,Driver,,7774
Flag,2023-03-19T17:16:35+00:00,44,BLACK AND WHITE,9,1142,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - WEAVING ON STRAIGHT,Driver,,7779
Flag,2023-03-19T17:43:56+00:00,55,BLACK AND WHITE,24,1142,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - WEAVING ON STRAIGHT,Driver,,7779
Flag,2023-05-05T21:48:04+00:00,11,BLACK AND WHITE,,1208,BLACK AND WHITE FLAG FOR CAR 11 (PER) - CROSSING THE LINE AT PIT ENTRY,Driver,,9072
Flag,2023-05-28T13:23:53+00:00,55,BLACK AND WHITE,17,1210,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - CAUSING A COLLISION,Driver,,9094
Flag,2023-05-28T13:55:00+00:00,18,BLACK AND WHITE,41,1210,BLACK AND WHITE FLAG FOR CAR 18 (STR) - CAUSING A COLLISION,Driver,,9094
Flag,2023-05-28T14:13:32+00:00,23,BLACK AND WHITE,55,1210,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,Driver,,9094
Flag,2023-05-28T14:19:58+00:00,20,BLACK AND WHITE,58,1210,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - TRACK LIMITS,Driver,,9094
Flag,2023-05-28T14:21:00+00:00,14,BLACK AND WHITE,59,1210,BLACK AND WHITE FLAG FOR CAR 14 (ALO) - TRACK LIMITS,Driver,,9094
Flag,2023-05-28T14:33:33+00:00,11,BLACK AND WHITE,66,1210,BLACK AND WHITE FLAG FOR CAR 11 (PER) - TRACK LIMITS,Driver,,9094
Flag,2023-05-28T14:35:44+00:00,10,BLACK AND WHITE,68,1210,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - TRACK LIMITS,Driver,,9094
Flag,2023-06-04T14:21:01+00:00,1,BLACK AND WHITE,59,1211,BLACK AND WHITE FLAG FOR CAR 1 (VER) - TRACK LIMITS,Driver,,9102
Flag,2023-06-17T20:42:52+00:00,16,BLACK AND WHITE,,1212,BLACK AND WHITE FLAG FOR CAR 16 (LEC) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – TRACK LIMITS,Driver,,9106
Flag,2023-06-18T19:40:10+00:00,81,BLACK AND WHITE,70,1212,BLACK AND WHITE FLAG FOR CAR 81 (PIA) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,Driver,,9110
Flag,2023-07-02T13:18:19+00:00,44,BLACK AND WHITE,12,1213,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T13:21:08+00:00,22,BLACK AND WHITE,15,1213,BLACK AND WHITE FLAG FOR CAR 22 (TSU) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T13:28:17+00:00,27,BLACK AND WHITE,20,1213,BLACK AND WHITE FLAG FOR CAR 27 (HUL) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T13:30:14+00:00,55,BLACK AND WHITE,22,1213,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T13:41:59+00:00,23,BLACK AND WHITE,32,1213,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T13:42:23+00:00,10,BLACK AND WHITE,32,1213,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T13:47:11+00:00,18,BLACK AND WHITE,36,1213,BLACK AND WHITE FLAG FOR CAR 18 (STR) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T13:59:58+00:00,20,BLACK AND WHITE,47,1213,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T14:14:11+00:00,2,BLACK AND WHITE,59,1213,BLACK AND WHITE FLAG FOR CAR 2 (SAR) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T14:18:01+00:00,31,BLACK AND WHITE,63,1213,BLACK AND WHITE FLAG FOR CAR 31 (OCO) - TRACK LIMITS,Driver,,9118
Flag,2023-07-02T14:25:59+00:00,11,BLACK AND WHITE,70,1213,BLACK AND WHITE FLAG FOR CAR 11 (PER) - TRACK LIMITS,Driver,,9118
Flag,2023-07-09T15:14:00+00:00,18,BLACK AND WHITE,43,1214,BLACK AND WHITE FLAG FOR CAR 18 (STR) - TRACK LIMITS,Driver,,9126
Flag,2023-07-09T15:21:19+00:00,63,BLACK AND WHITE,48,1214,BLACK AND WHITE FLAG FOR CAR 63 (RUS) - TRACK LIMITS,Driver,,9126
Flag,2023-07-09T15:22:10+00:00,4,BLACK AND WHITE,48,1214,BLACK AND WHITE FLAG FOR CAR 4 (NOR) - TRACK LIMITS,Driver,,9126
Flag,2023-07-23T14:09:23+00:00,81,BLACK AND WHITE,48,1215,BLACK AND WHITE FLAG FOR CAR 81 (PIA) - TRACK LIMITS,Driver,,9133
Flag,2023-07-30T14:13:17+00:00,2,BLACK AND WHITE,37,1216,BLACK AND WHITE FLAG FOR CAR 2 (SAR) - TRACK LIMITS,Driver,,9141
Flag,2023-08-27T13:41:15+00:00,20,BLACK AND WHITE,25,1217,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - MOVING UNDER BRAKING,Driver,,9149
