category,date,driver_number,flag,lap_number,meeting_key,message,scope,sector,session_key
Flag,2024-03-02T16:36:01+00:00,3,BLACK AND WHITE,57,1229,BLACK AND WHITE FLAG FOR CAR 3 (RIC) - TRACK LIMITS,Driver,,9472
Flag,2024-03-07T14:17:02+00:00,10,BLACK AND WHITE,,1230,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – TRACK LIMITS,Driver,,9473
Flag,2024-03-07T18:03:27+00:00,18,BLACK AND WHITE,,1230,BLACK AND WHITE FLAG FOR CAR 18 (STR) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – TRACK LIMITS,Driver,,9473
Flag,2024-03-07T18:03:27+00:00,18,BLACK AND WHITE,,1230,BLACK AND WHITE FLAG FOR CAR 18 (STR) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – TRACK LIMITS,Driver,,9474
Flag,2024-03-08T17:08:34+00:00,63,BLACK AND WHITE,,1230,BLACK AND WHITE FLAG FOR CAR 63 (RUS) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,Driver,,9476
Flag,2024-03-09T18:10:32+00:00,4,BLACK AND WHITE,41,1230,BLACK AND WHITE FLAG FOR CAR 4 (NOR) - WEAVING ON STRAIGHT,Driver,,9480
Flag,2024-04-05T03:13:03+00:00,27,BLACK AND WHITE,,1232,BLACK AND WHITE FLAG FOR CAR 27 (HUL) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT EXIT,Driver,,9489
Flag,2024-04-19T03:58:24+00:00,44,BLACK AND WHITE,,1233,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – CROSSING THE LINE AT PIT ENTRY,Driver,,9663
Flag,2024-05-04T16:26:18+00:00,20,BLACK AND WHITE,14,1234,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - TRACK LIMITS,Driver,,9506
Flag,2024-05-05T21:08:38+00:00,24,BLACK AND WHITE,41,1234,BLACK AND WHITE FLAG FOR CAR 24 (ZHO) - TRACK LIMITS,Driver,,9507
Flag,2024-05-05T21:16:03+00:00,18,BLACK AND WHITE,46,1234,BLACK AND WHITE FLAG FOR CAR 18 (STR) - TRACK LIMITS,Driver,,9507
Flag,2024-05-19T13:34:34+00:00,1,BLACK AND WHITE,24,1235,BLACK AND WHITE FLAG FOR CAR 1 (VER) - TRACK LIMITS,Driver,,9515
