circuit_key,circuit_short_name,country_code,country_key,country_name,date_end,date_start,gmt_offset,location,meeting_key,session_key,session_name,session_type,year
63,Sakhir,BRN,36,Bahrain,2024-02-29T12:30:00+00:00,2024-02-29T11:30:00+00:00,03:00:00,Sakhir,1229,9465,Practice 1,Practice,2024
63,Sakhir,BRN,36,Bahrain,2024-02-29T16:00:00+00:00,2024-02-29T15:00:00+00:00,03:00:00,Sakhir,1229,9466,Practice 2,Practice,2024
63,Sakhir,BRN,36,Bahrain,2024-03-01T13:30:00+00:00,2024-03-01T12:30:00+00:00,03:00:00,Sakhir,1229,9467,Practice 3,Practice,2024
63,Sakhir,BRN,36,Bahrain,2024-03-01T17:00:00+00:00,2024-03-01T16:00:00+00:00,03:00:00,Sakhir,1229,9468,Qualifying,Qualifying,2024
63,Sakhir,BRN,36,Bahrain,2024-03-02T17:00:00+00:00,2024-03-02T15:00:00+00:00,03:00:00,Sakhir,1229,9472,Race,Race,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-07T14:30:00+00:00,2024-03-07T13:30:00+00:00,03:00:00,Jeddah,1230,9473,Practice 1,Practice,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-07T18:00:00+00:00,2024-03-07T17:00:00+00:00,03:00:00,Jeddah,1230,9474,Practice 2,Practice,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-08T14:30:00+00:00,2024-03-08T13:30:00+00:00,03:00:00,Jeddah,1230,9475,Practice 3,Practice,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-08T18:00:00+00:00,2024-03-08T17:00:00+00:00,03:00:00,Jeddah,1230,9476,Qualifying,Qualifying,2024
149,Jeddah,KSA,153,Saudi Arabia,2024-03-09T19:00:00+00:00,2024-03-09T17:00:00+00:00,03:00:00,Jeddah,1230,9480,Race,Race,2024
10,Melbourne,AUS,5,Australia,2024-03-22T02:30:00+00:00,2024-03-22T01:30:00+00:00,11:00:00,Melbourne,1231,9481,Practice 1,Practice,2024
10,Melbourne,AUS,5,Australia,2024-03-22T06:00:00+00:00,2024-03-22T05:00:00+00:00,11:00:00,Melbourne,1231,9482,Practice 2,Practice,2024
10,Melbourne,AUS,5,Australia,2024-03-23T02:30:00+00:00,2024-03-23T01:30:00+00:00,11:00:00,Melbourne,1231,9483,Practice 3,Practice,2024
10,Melbourne,AUS,5,Australia,2024-03-23T06:00:00+00:00,2024-03-23T05:00:00+00:00,11:00:00,Melbourne,1231,9484,Qualifying,Qualifying,2024
10,Melbourne,AUS,5,Australia,2024-03-24T06:00:00+00:00,2024-03-24T04:00:00+00:00,11:00:00,Melbourne,1231,9488,Race,Race,2024
46,Suzuka,JPN,4,Japan,2024-04-05T03:30:00+00:00,2024-04-05T02:30:00+00:00,09:00:00,Suzuka,1232,9489,Practice 1,Practice,2024
46,Suzuka,JPN,4,Japan,2024-04-05T07:00:00+00:00,2024-04-05T06:00:00+00:00,09:00:00,Suzuka,1232,9490,Practice 2,Practice,2024
46,Suzuka,JPN,4,Japan,2024-04-06T03:30:00+00:00,2024-04-06T02:30:00+00:00,09:00:00,Suzuka,1232,9491,Practice 3,Practice,2024
46,Suzuka,JPN,4,Japan,2024-04-06T07:00:00+00:00,2024-04-06T06:00:00+00:00,09:00:00,Suzuka,1232,9492,Qualifying,Qualifying,2024
46,Suzuka,JPN,4,Japan,2024-04-07T07:00:00+00:00,2024-04-07T05:00:00+00:00,09:00:00,Suzuka,1232,9496,Race,Race,2024
49,Shanghai,CHN,53,China,2024-04-19T04:30:00+00:00,2024-04-19T03:30:00+00:00,08:00:00,Shanghai,1233,9663,Practice 1,Practice,2024
49,Shanghai,CHN,53,China,2024-04-19T08:14:00+00:00,2024-04-19T07:30:00+00:00,08:00:00,Shanghai,1233,9668,Sprint Qualifying,Qualifying,2024
49,Shanghai,CHN,53,China,2024-04-20T03:30:00+00:00,2024-04-20T03:00:00+00:00,08:00:00,Shanghai,1233,9672,Sprint,Race,2024
49,Shanghai,CHN,53,China,2024-04-20T08:00:00+00:00,2024-04-20T07:00:00+00:00,08:00:00,Shanghai,1233,9664,Qualifying,Qualifying,2024
49,Shanghai,CHN,53,China,2024-04-21T09:00:00+00:00,2024-04-21T07:00:00+00:00,08:00:00,Shanghai,1233,9673,Race,Race,2024
151,Miami,USA,19,United States,2024-05-03T17:30:00+00:00,2024-05-03T16:30:00+00:00,-04:00:00,Miami,1234,9497,Practice 1,Practice,2024
151,Miami,USA,19,United States,2024-05-03T21:14:00+00:00,2024-05-03T20:30:00+00:00,-04:00:00,Miami,1234,9502,Sprint Qualifying,Qualifying,2024
151,Miami,USA,19,United States,2024-05-04T16:30:00+00:00,2024-05-04T16:00:00+00:00,-04:00:00,Miami,1234,9506,Sprint,Race,2024
151,Miami,USA,19,United States,2024-05-04T21:00:00+00:00,2024-05-04T20:00:00+00:00,-04:00:00,Miami,1234,9498,Qualifying,Qualifying,2024
151,Miami,USA,19,United States,2024-05-05T22:00:00+00:00,2024-05-05T20:00:00+00:00,-04:00:00,Miami,1234,9507,Race,Race,2024
6,Imola,ITA,13,Italy,2024-05-17T12:30:00+00:00,2024-05-17T11:30:00+00:00,02:00:00,Imola,1235,9508,Practice 1,Practice,2024
6,Imola,ITA,13,Italy,2024-05-17T16:00:00+00:00,2024-05-17T15:00:00+00:00,02:00:00,Imola,1235,9509,Practice 2,Practice,2024
6,Imola,ITA,13,Italy,2024-05-18T11:30:00+00:00,2024-05-18T10:30:00+00:00,02:00:00,Imola,1235,9510,Practice 3,Practice,2024
